ID,msg_type,emotions,transcript_raw,transcript_clean,summary_ref,emphasized_words,reasons
1,task,中性,哎，下周末天气预报说应该是大晴天，挺适合户外活动的。我打算叫上几个老同学一起去郊外骑行，你要不要一块加入？我们定在周六早上七点，从学校南门出发，沿着河边的绿道一路骑到市郊的湿地公园，全程大概来回四十公里。中途会在小镇上找家馆子吃午饭，休息一下，预计傍晚就能返回学校。你只要准备好水壶和手套就行，头盔我可以帮你借一个，骑行车队的氛围也很轻松，不会很累。,哎，下周末天气预报说应该是大晴天，挺适合户外活动的。我打算叫上几个老同学一起去郊外骑行，你要不要一块加入？我们定在周六早上七点，从学校南门出发，沿着河边的绿道一路骑到市郊的湿地公园，全程大概来回四十公里。中途会在小镇上找家馆子吃午饭，休息一下，预计傍晚就能返回学校。你只要准备好水壶和手套就行，头盔我可以帮你借一个，骑行车队的氛围也很轻松，不会很累。,,[],
2,task,中性,这周我已经看过你们提交的项目资料了，整体方向和框架都还不错，不过在数据分析这一块确实有些不足，需要进一步补充。你能在周四之前再整理一份完整的数据表，把最近三个月的用户活跃度和留存率都仔细计算清楚吗？最好还能分周展示，方便横向对比，这样我在周五的组会上展示时会更直观。要是遇到难点或者数据缺口，可以随时给我发消息，不要拖到最后一刻才处理。,这周我已经看过你们提交的项目资料了，整体方向和框架都还不错，不过在数据分析这一块确实有些不足，需要进一步补充。你能在周四之前再整理一份完整的数据表，把最近三个月的用户活跃度和留存率都仔细计算清楚吗？最好还能分周展示，方便横向对比，这样我在周五的组会上展示时会更直观。要是遇到难点或者数据缺口，可以随时给我发消息，不要拖到最后一刻才处理。,,[],
3,task,中性,明天上午客户要来公司参观，领导安排我们做一次完整的流程演示。我负责整体的介绍环节，但技术部分需要你来配合展示。你能不能在演示中帮忙打开后台系统，展示一下核心操作流程？预计时间大概在十点到十点半之间，你最好提前十分钟到会议室，检查一下电脑和投影设备。演示结束之后，我会把客户提的问题都整理下来，再跟你确认答案，确保后续回复准确。,明天上午客户要来公司参观，领导安排我们做一次完整的流程演示。我负责整体的介绍环节，但技术部分需要你来配合展示。你能不能在演示中帮忙打开后台系统，展示一下核心操作流程？预计时间大概在十点到十点半之间，你最好提前十分钟到会议室，检查一下电脑和投影设备。演示结束之后，我会把客户提的问题都整理下来，再跟你确认答案，确保后续回复准确。,,[],
4,task,中性,你上次借我的那本书现在还在你那吧？其实我平时也不急着用，但是下周我要交论文了，里面有几章参考文献正好需要引用。如果方便的话，能不能在周二之前把书带来图书馆？我这几天几乎都在自习室写稿，你随便找个时间放我桌上就行。如果你一时带不来也没关系，先把相关的几页拍照发给我也行，至少能赶在截止时间前把参考文献补上。,你上次借我的那本书现在还在你那吧？其实我平时也不急着用，但是下周我要交论文了，里面有几章参考文献正好需要引用。如果方便的话，能不能在周二之前把书带来图书馆？我这几天几乎都在自习室写稿，你随便找个时间放我桌上就行。如果你一时带不来也没关系，先把相关的几页拍照发给我也行，至少能赶在截止时间前把参考文献补上。,,[],
5,task,中性,公司下个月要召开年终总结会，分工我已经初步定好了，你这边负责收集各个项目组的成果展示材料。请在本周五之前联系好每个组的组长，把他们的 PPT 初稿要过来，然后统一放到共享盘。下周我们会一起过一遍内容，确认哪些地方需要修改和完善。你在收集的过程中，记得提前把情况做成一个简短的表格，方便我统计和对比。,公司下个月要召开年终总结会，分工我已经初步定好了，你这边负责收集各个项目组的成果展示材料。请在本周五之前联系好每个组的组长，把他们的 PPT 初稿要过来，然后统一放到共享盘。下周我们会一起过一遍内容，确认哪些地方需要修改和完善。你在收集的过程中，记得提前把情况做成一个简短的表格，方便我统计和对比。,,[],
6,task,中性,弟，下周咱表哥要结婚，婚礼安排在周六上午十点，地点是市中心喜来登酒店三楼的宴会厅。我们家里都会去参加，你也早点到，一起帮忙布置现场。最好能在九点之前到酒店，这样就能发下喜糖、搬下东西，在客人来之前要布置妥当。别忘了准备一个红包，金额随意，主要是表达心意。,弟，下周咱表哥要结婚，婚礼安排在周六上午十点，地点是市中心喜来登酒店三楼的宴会厅。我们家里都会去参加，你也早点到，一起帮忙布置现场。最好能在九点之前到酒店，这样就能发下喜糖、搬下东西，在客人来之前要布置妥当。别忘了准备一个红包，金额随意，主要是表达心意。,,[],
7,task,中性,我刚收到学院临时的通知，这周需要提交一份项目阶段性的总结。能不能请你在周三之前，把最近的调研记录整理一下？包括问卷结果和访谈记录，都汇总成表格，再写一个大概五百字左右的小结。我周四上午要交正式稿，所以最好能提前一天发给我看一遍。别忘了附上数据来源的截图或原始文件，这样如果有人追问就能马上提供。,我刚收到学院临时的通知，这周需要提交一份项目阶段性的总结。能不能请你在周三之前，把最近的调研记录整理一下？包括问卷结果和访谈记录，都汇总成表格，再写一个大概五百字左右的小结。我周四上午要交正式稿，所以最好能提前一天发给我看一遍。别忘了附上数据来源的截图或原始文件，这样如果有人追问就能马上提供。,,[],
8,task,中性,今晚临时有个紧急安排，客户说明天一早要看到我们方案的更新版。你回去以后能不能再补充两页竞争对手的分析？不用写得特别复杂，但要把主要数据和结论写清楚，突出差异化。我明天早上八点要把文件发给他们，所以请你务必在今晚十一点之前把修改稿传到我邮箱。如果实在赶不及，也可以先写出要点文字，我来帮你放进 PPT。,今晚临时有个紧急安排，客户说明天一早要看到我们方案的更新版。你回去以后能不能再补充两页竞争对手的分析？不用写得特别复杂，但要把主要数据和结论写清楚，突出差异化。我明天早上八点要把文件发给他们，所以请你务必在今晚十一点之前把修改稿传到我邮箱。如果实在赶不及，也可以先写出要点文字，我来帮你放进 PPT。,,[],
9,task,中性,幺儿，下个周物业要上门检查燃气管道，时间定在周二上午十点到十一点之间。那天我单位正好有个会议走不开，你能不能早点回家在家里等一下？主要就是开个门让他们检查一下，大概二十分钟左右就能结束。你记得提前把厨房里的杂物收拾一下，别挡住管道。检查完以后，把他们给你的确认单或者现场照片拍下来，发给我看一眼。,幺儿，下个周物业要上门检查燃气管道，时间定在周二上午十点到十一点之间。那天我单位正好有个会议走不开，你能不能早点回家在家里等一下？主要就是开个门让他们检查一下，大概二十分钟左右就能结束。你记得提前把厨房里的杂物收拾一下，别挡住管道。检查完以后，把他们给你的确认单或者现场照片拍下来，发给我看一眼。,,[],
10,task,中性,今晚客户那边临时打了电话过来，说他们想在明天的汇报会上看到一份关于市场对比的补充说明。我打算由你来负责准备这部分材料。具体任务是，在现有的方案文档里新增一个章节，把我们产品和两个主要竞争对手的价格、功能、售后服务做一个横向比较。字数不用太多，但一定要直观清晰，最好用表格和要点形式。数据方面可以直接引用市场部上个月的调研报告，如果不够，再从公开渠道补充。明天早上八点我必须把完整的版本发给客户，所以请你今晚十一点之前把更新稿传我邮箱，哪怕是初版也行，我可以帮你再润色。,今晚客户那边临时打了电话过来，说他们想在明天的汇报会上看到一份关于市场对比的补充说明。我打算由你来负责准备这部分材料。具体任务是，在现有的方案文档里新增一个章节，把我们产品和两个主要竞争对手的价格、功能、售后服务做一个横向比较。字数不用太多，但一定要直观清晰，最好用表格和要点形式。数据方面可以直接引用市场部上个月的调研报告，如果不够，再从公开渠道补充。明天早上八点我必须把完整的版本发给客户，所以请你今晚十一点之前把更新稿传我邮箱，哪怕是初版也行，我可以帮你再润色。,,[],
